variable_id,name_zh,symbol,definition,type,unit,frequency,allowed_min,allowed_max,default_value,status,provenance_id,source_url,transformation,confidence,notes
country_id,国家 ID,id,虚构国家的稳定小写标识,categorical,code,static,,,placeholder,placeholder,CAL-SYN-01,https://datatopics.worldbank.org/world-development-indicators/user-guide.html,none,high,仅允许 12 个列名国家
gdp_current,名义 GDP,Y,当期市场价格下的最终产出流量,flow,billions_GCU_current,annual,20,3000,400,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,由人口与人均 GDP 校验,medium,不得与 PPP GDP 混用
population,人口,N,年中常住人口,stock,millions_persons,annual,1,100,25,synthetic_calibration,CAL-SYN-01,https://data.worldbank.org/indicator/SP.POP.TOTL,none,medium,人口不是劳动力
gdp_per_capita,人均名义 GDP,y_pc,gdp_current*1000/population,derived,GCU_per_person_current,annual,2000,80000,16000,derived,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,gdp_current*1000/population,high,显示时四舍五入至整数
real_gdp_growth,实际 GDP 增长,g,经价格调整的年度 GDP 增长率,rate,percent,annual,-15,15,3.0,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,annual_rate/4 仅为季度近似,medium,冲击可突破常态范围
cpi_inflation,CPI 平均通胀,pi,消费者价格指数年度平均变化,rate,percent,annual,-5,80,3.5,synthetic_calibration,CAL-SYN-01,https://www.imf.org/external/datamapper/datasets/WEO,monthly_to_annual_compound,medium,高通胀情境改用月度复利
unemployment_rate,失业率,u,失业者占劳动力的比例,rate,percent,quarterly,1,35,6,synthetic_calibration,CAL-SYN-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-labour-force-statistics/,none,medium,ILO 定义要求求职且可上岗
youth_unemployment_rate,青年失业率,u_y,青年劳动力中的失业比例,rate,percent,quarterly,2,55,12,synthetic_calibration,CAL-SYN-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-youth-labour-market-statistics/,none,medium,统一采用 15–24；与 YouthSTATS 15–29 不混用
policy_rate,政策利率,i_policy,中央银行操作目标或等效短端利率,rate,percent,monthly,-2,35,4,synthetic_calibration,CAL-SYN-01,https://www.worldbank.org/en/research/commodity-markets,annualize_simple,medium,名义年化百分比
productivity_index,劳动生产率指数,A,每工时/每就业者产出的归一化代理,index,index_2026Q1_100,quarterly,55,170,100,synthetic_calibration,CAL-SYN-01,https://ilostat.ilo.org/methods/concepts-and-definitions/description-sustainable-development-labour-market-indicators/,base_world_mean_100,medium,不是 TFP 的直接观测
